"Name";"Size";"ID";"Source";"Color"
"Herald of the Great Wyrm";"L";NA;NA;NA
"Herald of the Void";"L";NA;NA;NA
"Herald of Undeath";"L";NA;NA;NA
"Herbalist";"M";NA;NA;NA
"Herlekin";"M";NA;NA;NA
"Hermes, Greek Avatar";"M";NA;NA;NA
"Hermit Drake";"T";NA;NA;NA
"Heskel Barkridge";"M";NA;NA;NA
"Heterodox Priest";"M";NA;NA;NA
"Hew Hackinstone";"M";NA;NA;NA
"Hex Knight";"M";NA;NA;NA
"Hexblade";"M";NA;NA;NA
"Hexblade Wielder";"M";NA;NA;NA
"Hezrou";"L";"16e601ea-9a0b-96d6-e367-7113a3ab5492";"https://talespire.thunderstore.io/package/isopropanol/MonsterH/";"FALSE"
"Hezrou Sergeant";"L";NA;NA;NA
"Hielaa, Hag of the Dar al Annot";"L";NA;NA;NA
"Hieracosphinx";"L";NA;NA;NA
"Hieroglyphicroc";"L";NA;NA;NA
"Hierophant Lich";"M";NA;NA;NA
"Hierophant of Annihilation";"H";NA;NA;NA
"High Cimota";"M";NA;NA;NA
"High Deathpriest of Orcus";"M";NA;NA;NA
"High Gorgon";"M";NA;NA;NA
"High Inquisitor";"M";NA;NA;NA
"High Priest of the sun";"M";NA;NA;NA
"High Priest Priestess";"M";NA;NA;NA
"High Priest, Legendary";"M";NA;NA;NA
"Higher Vampire";"M";NA;NA;NA
"Highlander";"M";NA;NA;NA
"Hill Giant";"H";NA;NA;NA
"Hill Giant Berserker";"H";NA;NA;NA
"Hill Giant Boss";"H";NA;NA;NA
"Hill Giant Bruiser";"H";NA;NA;NA
"Hill Giant Champion of Grolantor";"H";NA;NA;NA
"Hill Giant Chieftain";"H";NA;NA;NA
"Hill Giant Gladiator";"H";NA;NA;NA
"Hill Giant Mouth of Grolantor";"H";NA;NA;NA
"Hill Giant Mummy";"H";NA;NA;NA
"Hill Giant Sergeant";"";NA;NA;NA
"Hill Giant Shaman of Ogrémoch";"H";NA;NA;NA
"Hill Giant Siege Hulk";"H";NA;NA;NA
"Hill Giant Skeleton";"H";NA;NA;NA
"Hill Giant Skirmisher";"H";NA;NA;NA
"Hill Giant Warlock of Ogrémoch";"H";NA;NA;NA
"Hill Giant Warlord";"H";NA;NA;NA
"Hill Giant Witch Doctor";"H";NA;NA;NA
"Hill Giant Zombie";"H";NA;NA;NA
"Hill Giant, Blorbo";"H";NA;NA;NA
"Hilt Pommel";"M";NA;NA;NA
"Hippocamp";"L";NA;NA;NA
"Hippocampus";"L";"3f5ea483-68c8-b430-477a-ef60c1d44048";"https://talespire.thunderstore.io/package/isopropanol/MonsterH/";"FALSE"
"Hippogriff";"L";"243943d0-e348-1a51-64d1-1857773dd55c";"https://talespire.thunderstore.io/package/isopropanol/MonsterH/";"FALSE"
"Hippogriff Alpha";"L";NA;NA;NA
"Hippopotamus";"L";NA;NA;NA
"Histachii, Yuan-Ti";"M";NA;NA;NA
"Hitokiri";"M";NA;NA;NA
"Hive Golem";"L";NA;NA;NA
"Hiveskin";"L";NA;NA;NA
"Hlam";"M";NA;NA;NA
"Ho Masubi, Japanese Avatar";"L";NA;NA;NA
"Hoar Fox";"S";NA;NA;NA
"Hoard Drake";"L";NA;NA;NA
"Hoard Golem";"H";NA;NA;NA
"Hoard Mimic";"H";NA;NA;NA
"Hoard Scarab";"T";NA;NA;NA
"Hoarder";"M";NA;NA;NA
"Hoarfrost Drake";"M";NA;NA;NA
"Hob";"S";NA;NA;NA
"Hobgoblin";"M";NA;NA;NA
"Hobgoblin Annihilator";"M";NA;NA;NA
"Hobgoblin Battle Mind";"M";NA;NA;NA
"Hobgoblin Bladebearer";"M";NA;NA;NA
"Hobgoblin Captain";"M";NA;NA;NA
"Hobgoblin Devastator";"M";NA;NA;NA
"Hobgoblin Dreadmaster";"M";NA;NA;NA
"Hobgoblin Elite Captain";"M";NA;NA;NA
"Hobgoblin Hand of Bane";"M";NA;NA;NA
"Hobgoblin Iron Shadow";"M";NA;NA;NA
"Hobgoblin Iron Shadow Assassin";"M";NA;NA;NA
"Hobgoblin Iron Shadow Master";"M";NA;NA;NA
"Hobgoblin King";"M";NA;NA;NA
"Hobgoblin Longbowman";"M";NA;NA;NA
"Hobgoblin Marshal";"M";NA;NA;NA
"Hobgoblin Phalanxite";"M";NA;NA;NA
"Hobgoblin Pikeman";"M";NA;NA;NA
"Hobgoblin Scout";"M";NA;NA;NA
"Hobgoblin Sergeant";"M";NA;NA;NA
"Hobgoblin Sharpshooter";"M";NA;NA;NA
"Hobgoblin Skeleton";"M";NA;NA;NA
"Hobgoblin Talon of Tiamat";"M";NA;NA;NA
"Hobgoblin Vanguard";"M";NA;NA;NA
"Hobgoblin Veteran";"M";NA;NA;NA
"Hobgoblin War Chanter";"M";NA;NA;NA
"Hobgoblin War Priest";"M";NA;NA;NA
"Hobgoblin Warlock of the Legion";"M";NA;NA;NA
"Hobgoblin Warlord";"M";NA;NA;NA
"Hobgoblin Warlord of Nomog-geaya";"M";NA;NA;NA
"Hobgoblin Warspeaker";"M";NA;NA;NA
"Hobgoblin Wyrmlord of Tiamat";"M";NA;NA;NA
"Hobgoblin Zombie";"M";NA;NA;NA
"Hodag";"L";NA;NA;NA
"Hodgepoker";"S";NA;NA;NA
"Hodgepoker Crackerjack";"S";NA;NA;NA
"Holler Spider";"T";NA;NA;NA
"Hollow Dragon";"H";NA;NA;NA
"Hollow Knight";"M";NA;NA;NA
"Hollyphant";"S";NA;NA;NA
"Holy Chorus";"L";NA;NA;NA
"Holy Redeemer";"M";NA;NA;NA
"Homarid";"M";NA;NA;NA
"Hommet Shaw";"M";NA;NA;NA
"Homunculus";"T";"f47f7e86-bbf2-4995-a452-9a6eb76e9983";"";"TRUE"
"Homunculus Servant";"T";NA;NA;NA
"Honey Slime";"S";NA;NA;NA
"Hongaek";"L";NA;NA;NA
"Honor-Bound Fighter";"M";NA;NA;NA
"Hooden Horse";"M";NA;NA;NA
"Hook Horror";"L";NA;NA;NA
"Hook Horror Alpha";"L";NA;NA;NA
"Hook Horror Clan Mother";"H";NA;NA;NA
"Hook Horror Spore Servant";"M";NA;NA;NA
"Hope";"M";NA;NA;NA
"Horakh";"M";NA;NA;NA
"Horde demon";"M";NA;NA;NA
"Horde of Zoblins";"L";NA;NA;NA
"Horde of Zombies";"H";NA;NA;NA
"Horizon Walker";"M";NA;NA;NA
"Horizonback Tortoise";"G";NA;NA;NA
"Horncaller";"M";NA;NA;NA
"Horned Devil";"L";NA;NA;NA
"Horned Devil (Malebranche)";"L";NA;NA;NA
"Horned Devil Warmaster";"L";NA;NA;NA
"Horned Devil, enhanced";"L";NA;NA;NA
"Horned Serpent";"L";NA;NA;NA
"Hornsaw";"L";NA;NA;NA
"Horrid Ape";"H";NA;NA;NA
"Horrid Badger";"M";NA;NA;NA
"Horrid Bat";"L";NA;NA;NA
"Horrid Boar";"L";NA;NA;NA
"Horrid Hyena";"L";NA;NA;NA
"Horrid Lion";"L";NA;NA;NA
"Horrid Rat";"S";NA;NA;NA
"Horrid Shark";"H";NA;NA;NA
"Horrid Tiger";"L";NA;NA;NA
"Horrid Umber Hulk";"H";NA;NA;NA
"Horrid Weasel";"M";NA;NA;NA
"Horrid Wolf";"L";NA;NA;NA
"Horror Beast";"L";NA;NA;NA
"Horseman Conquest";"M";NA;NA;NA
"Horseman Conquest (no mount)";"M";NA;NA;NA
"Horseman Death";"M";NA;NA;NA
"Horseman Death (no mount)";"M";NA;NA;NA
"Horseman Famine";"M";NA;NA;NA
"Horseman Famine (no mount)";"M";NA;NA;NA
"Horseman War";"M";NA;NA;NA
"Horseman War (no mount)";"M";NA;NA;NA
"Horus, Egyptian Avatar";"M";NA;NA;NA
"Hound Archon";"M";NA;NA;NA
"Hound of the Night";"L";NA;NA;NA
"Hound of the Wild Hunt";"M";NA;NA;NA
"Hound of Tindalos";"M";NA;NA;NA
"Howler";"L";NA;NA;NA
"Howler Baboon";"M";NA;NA;NA
"Howler Pack Lord";"H";NA;NA;NA
"Howler Wasp";"S";NA;NA;NA
"Howler Wasp Queen";"L";NA;NA;NA
"Howler Wasp Soldier";"M";NA;NA;NA
"Howling Abomination";"H";NA;NA;NA
"Howling Echo";"M";NA;NA;NA
"Howling Hatred Initiate";"M";NA;NA;NA
"Howling Hatred Priest";"M";NA;NA;NA
"Hrabbaz";"M";NA;NA;NA
"Hraesvelgr, The Corpse Swallower";"H";NA;NA;NA
"Hriggala, Jaws of the Unsated God";"H";NA;NA;NA
"Huecambra";"L";NA;NA;NA
"Huge Chuul";"H";NA;NA;NA
"Huge Giant Crab";"H";NA;NA;NA
"Huge Gorgemaw";"H";NA;NA;NA
"Huge Gray Ooze";"H";NA;NA;NA
"Huge Ochre Jelly";"H";NA;NA;NA
"Huge Polar Bear";"H";NA;NA;NA
"Huge Stone Golem";"H";NA;NA;NA
"Huggermugger";"S";NA;NA;NA
"Huitzilopochtli, Aztec Avatar";"M";NA;NA;NA
"Huli Jing";"M";NA;NA;NA
"Hulking Brain";"L";NA;NA;NA
"Hulking Crab";"H";NA;NA;NA
"Hulking Whelp (Calm Form)";"S";NA;NA;NA
"Hulking Whelp (Unleashed)";"H";NA;NA;NA
"Hundred-Handed One";"H";NA;NA;NA
"Hundun";"L";NA;NA;NA
"Hunger";"M";NA;NA;NA
"Hungry";"M";NA;NA;NA
"Hungry Sorrowsworn";"M";NA;NA;NA
"Hunter";"M";NA;NA;NA
"Hunter's Hound";"L";NA;NA;NA
"Hunter Shark";"L";NA;NA;NA
"Hunter Shark Zombie";"L";NA;NA;NA
"Huror";"H";NA;NA;NA
"Hurricane";"M";NA;NA;NA
"Husk";"M";NA;NA;NA
"Husk Zombie";"M";NA;NA;NA
"Huskarl";"M";NA;NA;NA
"Hutijin";"L";NA;NA;NA
"Hverhuldra";"S";NA;NA;NA
"Hyaenodon (Pleistocene Animal)";"L";NA;NA;NA
"Hybrid Brute";"M";NA;NA;NA
"Hybrid Flier";"M";NA;NA;NA
"Hybrid Poisoner";"M";NA;NA;NA
"Hybrid Shocker";"M";NA;NA;NA
"Hybrid Spy";"M";NA;NA;NA
"Hybsil";"S";NA;NA;NA
"Hydra";"H";"798cfd08-aae3-fe58-47fa-50d51e738ef1";"https://talespire.thunderstore.io/package/Wulfstahn/Hydra/";"TRUE"
"Hydra Cloud Gohl";"L";NA;NA;NA
"Hydra Zombie";"H";NA;NA;NA
"Hydraggon";"L";NA;NA;NA
"Hydroloth";"L";NA;NA;NA
"Hyena";"M";"a0655870-9b3a-4d97-8103-501fbfee067e";"";"TRUE"
"Hym";"L";NA;NA;NA
"Hypnos Magen";"M";NA;NA;NA
"Hythonia";"L";NA;NA;NA
"Ia'Affrat the Insatiable";"L";NA;NA;NA
"Ibixian";"M";NA;NA;NA
"Iblis";"L";NA;NA;NA
"Ice Basilisk";"L";NA;NA;NA
"Ice Bogie";"S";NA;NA;NA
"Ice Devil";"L";NA;NA;NA
"Ice Devil (Gelugon)";"L";NA;NA;NA
"Ice Devil Overlord";"L";NA;NA;NA
"Ice Devil, enhanced";"L";NA;NA;NA
"Ice Drake";"S";NA;NA;NA
"Ice Elemental";"L";NA;NA;NA
"Ice Elemental Myrmidon";"M";NA;NA;NA
"Ice Ghoul";"M";NA;NA;NA
"Ice Golem";"L";NA;NA;NA
"Ice Maiden";"M";NA;NA;NA
"Ice Mephit";"S";"ea657d0f-1d6d-f87f-04e4-d396e9c788ab";"https://talespire.thunderstore.io/package/Minipaintbdc/BCs_Creatures_of_Icewind_Dale/";"TRUE"
"Ice Paraelemental";"L";NA;NA;NA
"Ice Piercer";"M";NA;NA;NA
"Ice Spider Queen";"";NA;NA;NA
"Ice Stalker";"M";NA;NA;NA
"Ice Toad";"M";NA;NA;NA
"Ice Troll";"L";"79bb53ec-2e19-dc29-be23-5619d0397a36";"https://talespire.thunderstore.io/package/Minipaintbdc/BCs_Creatures_of_Icewind_Dale/";"TRUE"
"Ice Wraith";"L";NA;NA;NA
"Icewind Kobold";"S";NA;NA;NA
"Icewind Kobold Zombie";"S";NA;NA;NA
"Icewrack Dragon";"H";NA;NA;NA
"Ichneumon";"L";NA;NA;NA
"Ichor Ooze";"M";NA;NA;NA
"Id Fiend";"L";NA;NA;NA
"Id Fiend (version 2)";"L";NA;NA;NA
"Idolic Deity";"S";NA;NA;NA
"Idun, Norse Avatar";"M";NA;NA;NA
"Iggwilv the Witch Queen";"M";NA;NA;NA
"Ignagon";"H";NA;NA;NA
"Igneous Strider";"M";NA;NA;NA
"Igniguana";"M";NA;NA;NA
"Ignis Fatuus";"L";NA;NA;NA
"Iim'Avin Zauund";"M";NA;NA;NA
"Ijiraq";"M";NA;NA;NA
"Ikuchi";"G";NA;NA;NA
"Illithidragon Wyrmling";"M";NA;NA;NA
"Illithilich";"M";NA;NA;NA
"Illusionist";"M";NA;NA;NA
"Illusionist Wizard";"M";NA;NA;NA
"Illydia Maethellyn";"M";NA;NA;NA
"Ilsadun, Mutated Dwarf";"M";NA;NA;NA
"Imbued Magma Mephit";"S";NA;NA;NA
"Imbued Steam Mephit";"S";NA;NA;NA
"Imelda";"M";NA;NA;NA
"Imishakaia, the Crone of Bleached Bay";"L";NA;NA;NA
"Imix";"H";NA;NA;NA
"Immolith";"L";NA;NA;NA
"Immortal Lotus Monk";"M";NA;NA;NA
"Imoen";"M";NA;NA;NA
"Imp";"T";"dcb0695e-7e43-4a9d-8007-b10da7a303e2";"";"TRUE"
"Imp, enhanced";"T";"dcb0695e-7e43-4a9d-8007-b10da7a303e2";"";"TRUE"
"Imperator Uthor";"";NA;NA;NA
"Imperial Dragon Wyrmling";"M";NA;NA;NA
"Imperial Ghoul";"M";NA;NA;NA
"Imy-ut Ushabti";"M";NA;NA;NA
"Inari, Japanese Avatar";"M";NA;NA;NA
"Incarnate Gloom";"G";NA;NA;NA
"Incense Slug";"T";NA;NA;NA
"Incinis";"L";NA;NA;NA
"Inciter";"M";NA;NA;NA
"Incubus";"M";"d966febc-7045-18f3-8955-90216288353a";"https://talespire.thunderstore.io/package/isopropanol/MonsterIJ/";"FALSE"
"Indentured Spirit";"M";NA;NA;NA
"Indolent";"M";NA;NA;NA
"Indra, Indian Avatar";"M";NA;NA;NA
"Infant Basilisk";"T";NA;NA;NA
"Infant Hook Horror";"T";NA;NA;NA
"Infantryman";"M";NA;NA;NA
"Infernal Centaur";"M";NA;NA;NA
"Infernal Cyclops";"H";NA;NA;NA
"Infernal Homunculus";"T";NA;NA;NA
"Infernal Knight";"M";NA;NA;NA
"Infernal Succubus";"M";NA;NA;NA
"Infernal Swarm";"H";NA;NA;NA
"Inferno Spider";"L";NA;NA;NA
"Infestation Swarm";"M";NA;NA;NA
"Infested Adult Dragon";"H";NA;NA;NA
"Infested Ancient Dragon";"G";NA;NA;NA
"Infested Dragon Wyrmling";"M";NA;NA;NA
"Infested Young Dragon";"L";NA;NA;NA
"Initiate of the Elder Elementals";"S";NA;NA;NA
"Inix";"H";NA;NA;NA
"Inix Adult";"L";NA;NA;NA
"Inix Juvenile";"M";NA;NA;NA
"Injustice Archon";"M";NA;NA;NA
"Ink Devil";"S";NA;NA;NA
"Ink Guardian";"L";NA;NA;NA
"Inkling";"T";NA;NA;NA
"Inkling Mascot";"T";NA;NA;NA
"Inmai";"S";NA;NA;NA
"Inn-Wight";"S";NA;NA;NA
"Inoqua";"G";NA;NA;NA
"Inquisitor";"M";NA;NA;NA
"Inquisitor of the Mind Fire";"M";NA;NA;NA
"Inquisitor of the Sword";"M";NA;NA;NA
"Inquisitor of the Tome";"M";NA;NA;NA
"Insight Acuere";"M";NA;NA;NA
"Inspired";"M";NA;NA;NA
"Intellect Devourer";"T";"86327bb7-3d6f-c20c-7bd7-a029a09ff797";"https://talespire.thunderstore.io/package/Gonsplitters/Gonsplitters_Waterdeep_Dragon_Heist/";"TRUE"
"Intellect Extractor";"S";NA;NA;NA
"Intellect Possessor";"T";NA;NA;NA
"Inventor";"M";NA;NA;NA
"Invisibile Stalker";"M";NA;NA;NA
"Invisible Stalker";"M";NA;NA;NA
"Irecunda";"G";NA;NA;NA
"Ireena Kolyana";"M";NA;NA;NA
"Irid";"T";NA;NA;NA
"Iridescent Naga";"L";NA;NA;NA
"Iron-Infused Alchemist";"M";NA;NA;NA
"Iron Cobra";"M";NA;NA;NA
"Iron Consul";"M";NA;NA;NA
"Iron Defender";"S";NA;NA;NA
"Iron Defender (Spider Form)";"M";NA;NA;NA
"Iron Ghoul";"M";NA;NA;NA
"Iron Golem";"L";"a457ebfd-4d0f-4209-d994-92d7a52c5529";"https://talespire.thunderstore.io/package/Phenex/Golem_Pack_Phenex/";"TRUE"
"Iron Golem Juggernaut";"H";NA;NA;NA
"Iron Sphere";"S";NA;NA;NA
"Iron Spider";"M";NA;NA;NA
"Iron Tusker";"L";NA;NA;NA
"Ironfeather Owlbear";"L";NA;NA;NA
"Ironscale Hydra";"G";NA;NA;NA
"Irvan Wastewalker (Tier 1)";"M";NA;NA;NA
"Irvan Wastewalker (Tier 2)";"M";NA;NA;NA
"Irvan Wastewalker (Tier 3)";"M";NA;NA;NA
"Isaati";"M";NA;NA;NA
"Isarr Kronenstrom";"M";NA;NA;NA
"Ishel";"";NA;NA;NA
"Isimir, Scream of the Frozen World";"G";NA;NA;NA
"Isis, Egyptian Avatar";"M";NA;NA;NA
"Islander Levy";"M";NA;NA;NA
"Isolde";"M";NA;NA;NA
"Isonade";"G";NA;NA;NA
"Isperia";"G";NA;NA;NA
"Istrid Horn";"M";NA;NA;NA
"Ivan the Terrible";"M";NA;NA;NA
"Ixitxachitl";"S";NA;NA;NA
"Ixitxachitl Cleric";"S";NA;NA;NA
"Ixtlilton, Aztec Avatar";"M";NA;NA;NA
"Iymrith";"G";NA;NA;NA
"Izanagi and Izanami, Japanese Avatar";"M";NA;NA;NA
"Izek Strazni";"M";NA;NA;NA
"J'ba Fofi Spider";"L";NA;NA;NA
"Jaanavar Jal";"H";NA;NA;NA
"Jabberwock";"H";NA;NA;NA
"Jack-in-Irons Giant";"H";NA;NA;NA
"Jack of Strings";"M";NA;NA;NA
"Jack of Tears, King of the Carnival of Shadows";"M";NA;NA;NA
"Jackal";"S";NA;NA;NA
"Jackal of Darkness";"S";NA;NA;NA
"Jackalwere";"M";NA;NA;NA
"Jackalwere Deceiver";"M";NA;NA;NA
"Jackalwere Slaver";"M";NA;NA;NA
"Jackalwere Thug";"M";NA;NA;NA
"Jaculi";"M";NA;NA;NA
"Jaculus";"S";NA;NA;NA
"Jade Giant Spider";"";NA;NA;NA
"Jade Tigress";"M";NA;NA;NA
"Jageth";"L";NA;NA;NA
"Jaheira";"M";NA;NA;NA
"Jahi";"M";NA;NA;NA
"Jalester Silvermane";"M";NA;NA;NA
"Jalie Squarefoot";"L";NA;NA;NA
"Jammer Leech";"T";NA;NA;NA
"Jamna Gleamsilver";"S";NA;NA;NA
"Jandar Chergoba";"M";NA;NA;NA
"Janissary";"M";NA;NA;NA
"Janni";"M";NA;NA;NA
"Jarad Vod Savo";"M";NA;NA;NA
"Jarhild Stoneforge";"M";NA;NA;NA
"Jarl";"M";NA;NA;NA
"Jarl Storvald";"H";NA;NA;NA
"Jarlaxle Baenre";"M";NA;NA;NA
"Jarrlak";"L";NA;NA;NA
"Jarund Elkhardt";"M";NA;NA;NA
"Jebediah Zonavan";"M";NA;NA;NA
"Jenks";"S";NA;NA;NA
"Jermlaine";"T";NA;NA;NA
"Jester";"M";NA;NA;NA
"Jewel Wasp";"T";NA;NA;NA
"Jhakar";"S";NA;NA;NA
"Jhakar (version 2)";"S";NA;NA;NA
"Jiang Jun";"M";NA;NA;NA
"Jiangshi";"M";NA;NA;NA
"Jiangshi Sealbonded";"M";NA;NA;NA
"Jim Darkmagic";"M";NA;NA;NA
"Jingle Jangle";"S";NA;NA;NA
"Jinmenju";"H";NA;NA;NA
"Jon Irenicus";"M";NA;NA;NA
"Jormungandr";"M";NA;NA;NA
"Jörmungandr";"H";NA;NA;NA
"Jotun Giant";"G";NA;NA;NA
"Journeyman Mage";"M";NA;NA;NA
"Jovoc";"S";NA;NA;NA
"Juiblex";"H";NA;NA;NA
"Jumping Spider";"L";NA;NA;NA
"Jungle Ankheg";"L";NA;NA;NA
"Jungle Squid";"H";NA;NA;NA
"Junk Shaman";"S";NA;NA;NA
"Jupiter Bloodsucker";"M";NA;NA;NA
"Justice Archon";"M";NA;NA;NA
"Juvenile Arrowhawk";"S";NA;NA;NA
"Juvenile Black Dragon";"L";NA;NA;NA
"Juvenile Blue Dragon";"L";NA;NA;NA
"Juvenile Brown Dragon";"L";NA;NA;NA
"Juvenile Dragon Zombie";"L";NA;NA;NA
"Juvenile Gray Dragon";"L";NA;NA;NA
"Juvenile Green Dragon";"L";NA;NA;NA
"Juvenile Hellfire Wyrm";"L";NA;NA;NA
"Juvenile Hook Horror";"M";NA;NA;NA
"Juvenile Illithidragon";"L";NA;NA;NA
"Juvenile Kraken";"H";NA;NA;NA
"Juvenile Mimic";"T";NA;NA;NA
"Juvenile Nabassu";"M";NA;NA;NA
"Juvenile Purple Dragon";"L";NA;NA;NA
"Juvenile Red Dragon";"L";NA;NA;NA
"Juvenile Tojanida";"S";NA;NA;NA
"Juvenile White Dragon";"L";NA;NA;NA
"K'thriss Drow'b";"M";NA;NA;NA
"K'Tulah";"M";NA;NA;NA
"Kaarghaz";"M";NA;NA;NA
"Kachlian";"H";NA;NA;NA
"Kadroth";"M";NA;NA;NA
"Kaevja Cynavern";"M";NA;NA;NA
"Kagain";"M";NA;NA;NA
"Kalain";"M";NA;NA;NA
"Kalaraq";"M";NA;NA;NA
"Kalaraq Quori";"M";NA;NA;NA
"Kalareem";"M";NA;NA;NA
"Kalashtar";"M";NA;NA;NA
"Kali, Indian Avatar";"M";NA;NA;NA
"Kalka-Kylla";"L";NA;NA;NA
"Kalke";"S";NA;NA;NA
"Kallikantzaros";"S";NA;NA;NA
"Kamadan";"L";NA;NA;NA
"Kamaitachi";"S";NA;NA;NA
"Kampfult";"M";NA;NA;NA
"Kank";"L";NA;NA;NA
"Kank (version 2)";"L";NA;NA;NA
"Kapi";"M";NA;NA;NA
"Kappa";"S";NA;NA;NA
"Kapre";"L";NA;NA;NA
"Kapre Elder";"L";NA;NA;NA
"Karakura";"M";NA;NA;NA
"Karrnathi Bulette";"L";NA;NA;NA
"Karrnathi Skeleton";"M";NA;NA;NA
"Karrnathi Undead Soldier";"M";NA;NA;NA
"Karrnathi Zombie";"M";NA;NA;NA
"Katakan";"L";NA;NA;NA
"Kaveph";"H";NA;NA;NA
"Kavu Predator";"L";NA;NA;NA
"Kech";"M";NA;NA;NA
"Keel Crusher";"G";NA;NA;NA
"Keelbreaker Crab";"H";NA;NA;NA
"Keg Golem";"M";NA;NA;NA
"Keg Robot";"M";NA;NA;NA
"Kelek";"M";NA;NA;NA
"Kelp Drake";"M";NA;NA;NA
"Kelp Eel";"H";NA;NA;NA
"Kelpie";"M";NA;NA;NA
"Kembingur";"G";NA;NA;NA
"Kenku";"M";NA;NA;NA
"Kenku Arcane Trickster";"M";NA;NA;NA
"Kenku Duelist";"M";NA;NA;NA
"Kenku Eagle Claw";"M";NA;NA;NA
"Kenku Gang Boss";"M";NA;NA;NA
"Kenku Gouger";"M";NA;NA;NA
"Kenku Shingler";"M";NA;NA;NA
"Kenku Sneak";"M";NA;NA;NA
"Kensei";"M";NA;NA;NA
"Kere";"L";NA;NA;NA
"Keres";"M";NA;NA;NA
"Kes'thak the Lizard King";"L";NA;NA;NA
"Kestrekel";"S";NA;NA;NA
"Kestrekel Carrion Eater";"M";NA;NA;NA
"Kestrekel Giant";"L";NA;NA;NA
"Kettlesteam the Kenku";"M";NA;NA;NA
"Keyhole Dragonette";"T";NA;NA;NA
"Kezai";"M";NA;NA;NA
"Khargra";"S";NA;NA;NA
"Khodumodumo";"G";NA;NA;NA
"Khumat";"L";NA;NA;NA
"Ki-rin";"H";NA;NA;NA
"Ki-Rin";"L";NA;NA;NA
"Ki-Rin Brightsteed";"L";NA;NA;NA
"Ki-rin Foal";"L";NA;NA;NA
"Kiddywidget";"S";NA;NA;NA
"Kikimora";"M";NA;NA;NA
"Kikimore Hatchling";"T";NA;NA;NA
"Kikimore Queen";"H";NA;NA;NA
"Kikimore Swarm";"L";NA;NA;NA
"Kikimore Warrior";"L";NA;NA;NA
"Kikimore Worker";"S";NA;NA;NA
"Killer Whale";"H";"d416cf9a-59cc-29db-714a-48c3a5971b21";"https://talespire.thunderstore.io/package/ScottCross/Scotts_Aquatic_Animals_Pack/";"TRUE"
"Killmoulis";"T";NA;NA;NA
"Kindori";"G";NA;NA;NA
"King Cobra";"M";NA;NA;NA
"King Hekaton";"H";NA;NA;NA
"King Kobold";"S";NA;NA;NA
"King of Feathers";"H";NA;NA;NA
"King of the Wild Hunt";"M";NA;NA;NA
"King Paul Shapechanger";"M";NA;NA;NA
"King Robbit the Slimy";"S";NA;NA;NA
"King Snurre";"";NA;NA;NA
"Kingsguard";"M";NA;NA;NA
"Kingsport";"M";NA;NA;NA
"Kinnara";"M";NA;NA;NA
"Kip Spider";"T";NA;NA;NA
"Kirikari";"H";NA;NA;NA
"Kiril Stoyanovich";"";NA;NA;NA
"Kirre";"L";NA;NA;NA
"Kirre (version 2)";"M";NA;NA;NA
"Kishi Demon";"M";NA;NA;NA
"Kithguard";"M";NA;NA;NA
"Kithlord";"M";NA;NA;NA
"Kitsune";"S";NA;NA;NA
"Kivan";"M";NA;NA;NA
"Klauth";"G";NA;NA;NA
"Klurichir";"H";NA;NA;NA
"Knight";"M";"afee4e5c-96c9-497d-a348-55288178811b";"";"TRUE"
"Knight-Errant";"M";NA;NA;NA
"Knight-Guardian of the Lightning Lord";"L";NA;NA;NA
"Knight-Sentinel of the Lightning Lord";"L";NA;NA;NA
"Knight Ab-errant";"L";NA;NA;NA
"Knight Conqueror";"M";NA;NA;NA
"Knight of the Angel";"M";NA;NA;NA
"Knight of the Black Sword";"M";NA;NA;NA
"Knight of the Crimson King";"M";NA;NA;NA
"Knight of the Drake";"M";NA;NA;NA
"Knight of the Gorgon";"M";NA;NA;NA
"Knight of the Hydra";"M";NA;NA;NA
"Knight of the Iron";"M";NA;NA;NA
"Knight of the Khan";"M";NA;NA;NA
"Knight of the Lion";"M";NA;NA;NA
"Knight of the Lupercal";"M";NA;NA;NA
"Knight of the Night";"M";NA;NA;NA
"Knight of the Phoenician";"M";NA;NA;NA
"Knight of the Praetorian";"M";NA;NA;NA
"Knight of the Raven";"M";NA;NA;NA
"Knight of the Reaper";"M";NA;NA;NA
"Knight of the Regent";"M";NA;NA;NA
"Knight of the Road";"M";NA;NA;NA
"Knight of the Slaughterer";"M";NA;NA;NA
"Knight of the Wolf King";"M";NA;NA;NA
"Knight of the Word";"M";NA;NA;NA
"Knight Retainer";"M";NA;NA;NA
"Knight, Legendary";"M";"afee4e5c-96c9-497d-a348-55288178811b";"";"TRUE"
"Knightly Order";"G";NA;NA;NA
"Knocker";"M";NA;NA;NA
"Knowledge Priest";"M";NA;NA;NA
"Knucklehead Trout";"S";NA;NA;NA
"Koalinth";"M";NA;NA;NA
"Koalinth Sergeant";"M";NA;NA;NA
"Kobold";"S";"82184c7c-a4d6-c0e4-ed67-1820af254843";"https://talespire.thunderstore.io/package/isopropanol/MonsterK/";"FALSE"
"Kobold Air Cavalry";"S";NA;NA;NA
"Kobold Alchemist";"S";NA;NA;NA
"Kobold Arcane Trickster";"S";NA;NA;NA
"Kobold Archer";"S";NA;NA;NA
"Kobold Bruiser";"S";NA;NA;NA
"Kobold Bully";"S";NA;NA;NA
"Kobold Censer Bearer";"S";NA;NA;NA
"Kobold Chieftain";"S";NA;NA;NA
"Kobold Commander";"S";NA;NA;NA
